Name,Glass,Garnish,How to make,Contents,Ratios,Gentle / Boozy,Sweet / Dry Sour,Calories,Calories2,Alcohol percentage,Alcohol percentage2,Popularity,Category,URL
American Pie Cocktail,Coupe glass,"['Float', 'dehydrated', 'apple', 'slice']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Bourbon whiskey', 'Apple Schnapps liqueur', 'Giffard Crème de Myrtille liqueur', 'Cranberry juice (sweetened)', 'Apple juice (cloudy & unsweetened)', 'Lime juice (freshly squeezed)']","['1 1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,7,,203 calories,,16.77,4,4th July & Independence Day,https://www.diffordsguide.com/cocktails/recipe/59/index.html
Americana,Flute glass,"['Peach', 'slice']",Coat sugar cube with bitters and drop into glass. POUR bourbon and then champagne into chilled glass.,"['White caster sugar', 'Angostura Aromatic Bitters', 'Bourbon whiskey', 'Brut champagne or sparkling wine']","['1 cube', '4 dash', '1⁄2 shot', 'Top up with', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,Cocktails & Mixed Drinks,1,Champagne,https://www.diffordsguide.com/cocktails/recipe/60/index.html
Americano,Collins glass,"['Orange', 'slice']",POUR all ingredients into ice-filled glass and briefly stir.,"['Italian red bitter liqueur', 'Rosso/rouge (sweet) vermouth', 'Thomas Henry Soda Water']","['1 1⁄2 shot', '1 1⁄2 shot', '2 1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",3,7,,,,,202,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/61/index.html
Anis'tini,Martini glass,"['Star', 'anise']","MUDDLE star anise in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","['Star anise', 'Ketel One Vodka', 'Black sambuca liqueur', 'Anise liqueur', 'Chilled water (reduce if wet ice)']","['2 dried', '1 shot', '3⁄4 shot', '1⁄2 shot', '1 1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,Cocktails & Mixed Drinks,,,,https://www.diffordsguide.com/cocktails/recipe/62/index.html
Anita's Attitude Adjuster,Sling glass,"['Lemon', 'slice', '&', 'cherry', 'on', 'stick', '(sail)']",SHAKE first seven ingredients with ice and strain into ice-filled glass. TOP with champagne and gently stir.,"['De Kuyper Triple Sec (40%)', 'Patrón Reposado tequila', 'Light white rum (charcoal-filtered 1-4 years old)', 'Rutte Dry Gin', 'Ketel One Vodka', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Brut champagne or sparkling wine']","['1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', 'Top up with', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,Cocktails & Mixed Drinks,2,Champagne,https://www.diffordsguide.com/cocktails/recipe/63/index.html
Apache,Shot glass,['None'],Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"['Bebo Coffee Liqueur', 'Green melon liqueur', 'Irish cream liqueur']","['3⁄4 shot', '1⁄2 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,2,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/64/index.html
Aphrodisiac,Collins glass,"['Apple', 'slice']","MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","['Root ginger (thumbnail-sized slice)', 'Vanilla flavoured vodka', 'Green Chartreuse liqueur', 'Apple juice (cloudy & unsweetened)', 'Sauvignon blanc wine']","['2 slice', '2 shot', '1⁄2 shot', '2 1⁄2 shot', '1 1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,,Modern,https://www.diffordsguide.com/cocktails/recipe/65/index.html
Apple & Blackberry Pie,Martini glass,"['Dust', 'with', 'cinnamon', 'powder', '&', 'blackberry']","MUDDLE blackberries in base of shaker. Add vodka and apple juice, SHAKE all ingredients with ice and fine strain into chilled glass. FLOAT cream on the surface of the drink by pouring over the back of a spoon and swirl to form a thin layer. Depending on the sweetness of your blackberries, you may need to add a touch of sugar syrup.","['Blackberries', 'Ketel One Vodka', 'Apple juice (cloudy & unsweetened)', 'Single cream / half-and-half']","['7 fresh', '2 shot', '1 shot', 'Float', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,4,Modern,https://www.diffordsguide.com/cocktails/recipe/66/index.html
Apple & Cranberry Pie,Coupe glass,"['Dust', 'with', 'cinnamon', 'powder']",SHAKE first 3 ingredients with ice and fine strain into chilled glass. FLOAT lightly whipped cream on the cocktail's surface by pouring over the back of a spoon.,"['Ketel One Vodka', 'Apple Schnapps liqueur', 'Cranberry juice (sweetened)', 'Single cream / half-and-half']","['1 1⁄2 shot', '3⁄4 shot', '1 shot', '3⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",6,5,214 calories,,15.12,,3,Creamy,https://www.diffordsguide.com/cocktails/recipe/67/index.html
Apple & Custard Cocktail,Martini glass,"['Apple', 'wedge']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Warninks Advocaat liqueur', 'Calvados & straight applejacks', 'Apple Schnapps liqueur', 'Vanilla sugar syrup']","['2 shot', '1 1⁄2 shot', '1⁄2 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,329 calories,,19.81,,Modern,https://www.diffordsguide.com/cocktails/recipe/68/index.html
Apple & Elderflower Collins,Collins glass,"['Lemon', 'slice']",SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with soda and briefly stir.,"['Rutte Dry Gin', 'Fiorente Elderflower liqueur', 'Apple Schnapps liqueur', 'Lime juice (freshly squeezed)', 'Thomas Henry Soda Water']","['1 1⁄2 shot', '1 shot', '1 shot', '1 shot', 'Top up with', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,11,Modern,https://www.diffordsguide.com/cocktails/recipe/69/index.html
Apple & Melon Cocktail,Martini glass,"['Apple', 'wedge']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Ketel One Vodka', 'Sour apple liqueur', 'Green melon liqueur', 'Lime juice (freshly squeezed)']","['2 shot', '1 shot', '1⁄2 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,12,Modern,https://www.diffordsguide.com/cocktails/recipe/70/index.html
Apple & Spice,Shot glass,"['Dust', 'with', 'cinnamon', 'powder']",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"['Calvados & straight applejacks', 'Single cream / half-and-half']","['3⁄4 shot', '3⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,2,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/71/index.html
Apple Brandy Sour,Old-fashioned glass,"['Lemon', 'zest', 'twist', '(discarded)', 'and', 'garnish', 'with', 'a', 'skewered', 'lemon', 'slice', 'wheel', 'and', 'Luxardo', 'Maraschino', 'cherry', 'sail']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"['Calvados & straight applejacks', 'Lemon juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Pasteurised egg white (or aquafaba)', 'Angostura Aromatic Bitters']","['1 1⁄2 shot', '3⁄4 shot', '1⁄2 shot', '1⁄2 shot', '3 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,7,,,,,56,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/72/index.html
Apple Breeze,Collins glass,"['Apple', 'wedge']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Bison grass vodka', 'Apple juice (cloudy & unsweetened)', 'Cranberry juice (sweetened)']","['2 shot', '2 1⁄2 shot', '1 1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,11,Modern,https://www.diffordsguide.com/cocktails/recipe/73/index.html
Apple Buck,Collins glass,"['Apple', 'wedge']",SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with ginger ale.,"['Calvados & straight applejacks', 'Sour apple liqueur', 'Apple juice (cloudy & unsweetened)', 'Lime juice (freshly squeezed)', 'Thomas Henry Ginger Ale']","['1 1⁄2 shot', '1⁄2 shot', '1 shot', '1⁄2 shot', '1 1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,161 calories,,10.89,5,Long drinks & highballs,https://www.diffordsguide.com/cocktails/recipe/74/index.html
Apple Cart,Coupe glass,"['Optional', 'sugar', 'rim', 'with', 'apple', 'wedge', 'on', 'rim', 'or', 'float', 'dehydrated', 'apple', 'slice']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Calvados & straight applejacks', 'De Kuyper Triple Sec (40%)', 'Lemon juice (freshly squeezed)', 'Apple Schnapps liqueur (optional)', 'Chilled water (omit if using wet ice)']","['1 1⁄2 shot', '1 shot', '2⁄3 shot', '1⁄3 shot', '1⁄3 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,22.44,,37,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/75/index.html
Apple Crumble Cocktail #1,Martini glass,"['Apple', 'wedge']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Blended Scotch whisky', 'Butterscotch liqueur', 'Apple juice (cloudy & unsweetened)', 'Lemon juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '1⁄4 shot', '1 shot', '1⁄2 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,Cocktails & Mixed Drinks,,9,,https://www.diffordsguide.com/cocktails/recipe/76/index.html
Apple Crumble Cocktail #2,Martini glass,"['Dust', 'with', 'cinnamon', 'powder']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Tuaca liqueur', 'Lemon juice (freshly squeezed)', 'Apple juice (cloudy & unsweetened)']","['2 shot', '1⁄2 shot', '2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,4,,https://www.diffordsguide.com/cocktails/recipe/77/index.html
Apple Daiquiri,Martini glass,"['Apple', 'wedge']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Light white rum (charcoal-filtered 1-4 years old)', 'Apple juice (cloudy & unsweetened)', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '1 1⁄2 shot', '1⁄2 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,170 calories,,15.18,8,Modern,https://www.diffordsguide.com/cocktails/recipe/78/index.html
Apple Mac,Coupe glass,"['Float', 'thin', 'apple', 'slice', '(fresh', 'or', 'hydrated)']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Blended Scotch whisky', 'Apple juice (cloudy & unsweetened)', 'Green ginger wine', ""Bob's Ginger Bitters""]","['2 shot', '1 1⁄2 shot', '1⁄2 shot', '6 drop', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,6,,,,,5,Anytime,https://www.diffordsguide.com/cocktails/recipe/79/index.html
Apple Manhattan,Martini glass,"['Apple', 'wedge,', 'apple', 'fan', 'or', 'dehydrated', 'apple', 'slice']",STIR all ingredients with ice and strain into chilled glass.,"['Bourbon whiskey', 'Apple Schnapps liqueur', 'Rosso/rouge (sweet) vermouth']","['1 2⁄3 shot', '1 1⁄6 shot', '5⁄12 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",6,5,,229 calories,,25.1,13,Martini-style,https://www.diffordsguide.com/cocktails/recipe/80/index.html
Apple Martini (simple),Martini glass,"['Luxardo', 'Maraschino', 'cherry']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Ketel One Vodka', 'Apple juice (cloudy & unsweetened)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '1 3⁄4 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",6,5,,,,,21,Contemporary classic,https://www.diffordsguide.com/cocktails/recipe/81/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/82/index.html
Apple Martini (IBA spec),Martini glass,"['Apple', 'slice']",STIR all ingredients with ice and fine strain into chilled glass.,"['Ketel One Vodka', 'Apple Schnapps liqueur', 'De Kuyper Triple Sec (40%)']","['2 shot', '3⁄4 shot', '3⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/83/index.html
Apple Mojito,Collins glass,"['Mint', 'sprig']","ADD first 5 ingredients to glass and two-thirds fill with crushed ice. CHURN (stir) with bar spoon and then FILL glass with more crushed ice.  TOP with apple soda, briefly stir and serve.","['Mint leaves', 'Calvados & straight applejacks', 'Lime juice (freshly squeezed)', 'Apple Schnapps liqueur', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Sparkling apple juice']","['12 fresh', '1 1⁄2 shot', '1⁄2 shot', '1⁄3 shot', '1⁄3 shot', '1 1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",6,6,,,,13.56,1,Long drinks & highballs,https://www.diffordsguide.com/cocktails/recipe/84/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/85/index.html
