Name,Glass,Garnish,How to make,Contents,Ratios,Gentle / Boozy,Sweet / Dry Sour,Calories,Calories2,Alcohol percentage,Alcohol percentage2,Popularity,Category,URL
Alessandro,Martini glass,"['Lemon', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'Black sambuca liqueur', 'Milk (whole milk/full 3-4% fat)', 'Single cream / half-and-half']","['3⁄4 shot', '3⁄4 shot', '3⁄4 shot', '3⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,3,Creamy,https://www.diffordsguide.com/cocktails/recipe/34/index.html
Alexander,Coupe glass,"['Dust', 'with', 'grated', 'nutmeg']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"['Rutte Dry Gin', 'Dutch Cacao white crème de cacao', 'Single cream / half-and-half', 'Pasteurised egg white (or aquafaba) (optional)']","['1 1⁄2 shot', '3⁄4 shot', '3⁄4 shot', '1⁄3 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,38,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/35/index.html
Alexander The Great,Coupe glass,"['Dust', 'with', 'freshly', 'grated', 'nutmeg']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"['Ketel One Vodka', 'Bebo Coffee Liqueur', 'Dutch Cacao white crème de cacao', 'Single cream / half-and-half', 'Pasteurised egg white (or aquafaba) (optional)']","['1 1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '3⁄4 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",6,5,,231 calories,,19.35,49,Creamy,https://www.diffordsguide.com/cocktails/recipe/36/index.html
Alexander's Big Brother,Martini glass,"['Physalis', '(cape', 'gooseberry)', 'on', 'rim']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"['Rutte Dry Gin', 'De Kuyper Triple Sec (40%)', 'De Kuyper Blue Curaçao', 'Single cream / half-and-half', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Pasteurised egg white (or aquafaba) (optional)']","['1 1⁄2 shot', '1⁄4 shot', '3⁄4 shot', '3⁄4 shot', '1⁄6 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,11,Creamy,https://www.diffordsguide.com/cocktails/recipe/37/index.html
Alexander's Sister,Martini glass,"['Dust', 'with', 'freshly', 'grated', 'nutmeg']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"['Rutte Dry Gin', 'Giffard Peppermint Pastille crème de menthe', 'Single cream / half-and-half', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Pasteurised egg white (or aquafaba) (optional)']","['1 1⁄2 shot', '1⁄2 shot', '3⁄4 shot', '1⁄6 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,7,Creamy,https://www.diffordsguide.com/cocktails/recipe/38/index.html
Alexandra,Coupe glass,"['Dust', 'with', 'freshly', 'grated', 'nutmeg']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"['Dark/black/blackstrap rum', 'Navy rum (54.5% alc./vol.)', 'Bebo Coffee Liqueur', 'Single cream / half-and-half', 'Pasteurised egg white (or aquafaba)']","['1 shot', '1⁄2 shot', '1 shot', '1 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,6,,,,,4,Creamy,https://www.diffordsguide.com/cocktails/recipe/39/index.html
Alfonso,Flute glass,"['Lemon', 'zest', 'twist']",Coat sugar cube with bitters and drop into glass. POUR Dubonnet and then champagne into chilled glass.,"['White caster sugar', 'Angostura Aromatic Bitters', 'Dubonnet/French rouge aromatised wine', 'Brut champagne or sparkling wine']","['1 cube', '4 dash', '1⁄2 shot', 'Top up with', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,Cocktails & Mixed Drinks,,3,Champagne,https://www.diffordsguide.com/cocktails/recipe/40/index.html
Algonquin,Coupe glass,"['Pineapple', 'wedge', '&', 'Luxardo', 'Maraschino', 'cherry']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Straight rye whiskey (100 proof / 50% alc./vol.)', 'Bianco vermouth', 'Pineapple juice (fresh pressed)', ""Peychaud's or other Creole-style bitters (optional)""]","['1 1⁄2 shot', '3⁄4 shot', '3⁄4 shot', '1 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,7,144 calories,,23.22,,71,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/41/index.html
Alice From Dallas,Shot glass,['None'],Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"['Bebo Coffee Liqueur', 'Grand Marnier or other cognac orange liqueur', 'Patrón Reposado tequila']","['1⁄2 shot', '1⁄2 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",9,5,,,,,10,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/42/index.html
Alice In Wonderland,Shot glass,"['Lime', 'wedge']",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"['Grand Marnier or other cognac orange liqueur', 'Patrón Reposado tequila']","['1 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,Cocktails & Mixed Drinks,,2,,https://www.diffordsguide.com/cocktails/recipe/43/index.html
